Order Date,Region,Category,Sub-Category,Sales,Profit
2014-02-15,West,Office Supplies,Binders,21.36,7.209
2014-02-16,Central,Office Supplies,Appliances,7.96,-13.93
2014-02-16,Central,Office Supplies,Binders,1.08,-1.728
2014-02-17,Central,Office Supplies,Art,54.208,8.8088
2014-02-18,Central,Furniture,Furnishings,25.16,-11.322
2014-02-18,Central,Office Supplies,Storage,12.624,-2.5248
2014-02-20,Central,Furniture,Furnishings,20.32,6.9088
2014-02-20,Central,Technology,Accessories,62.31,22.4316
2014-02-20,West,Office Supplies,Paper,12.96,6.2208
2014-02-21,Central,Office Supplies,Binders,8.85,-13.7175
2014-02-22,West,Office Supplies,Paper,19.44,9.3312
2014-02-23,Central,Office Supplies,Binders,4.428,-6.8634
2014-02-23,Central,Office Supplies,Labels,6.936,2.3409
2014-02-24,West,Office Supplies,Paper,55.672,18.789299999999997
2014-02-27,East,Office Supplies,Art,19.456,3.4048
2014-03-01,Central,Furniture,Chairs,996.366,-172.1172
2014-03-01,Central,Furniture,Furnishings,63.552,-34.9536
2014-03-01,Central,Furniture,Tables,376.509,-43.0296
2014-03-01,Central,Office Supplies,Fasteners,18.84,-3.5325
2014-03-01,Central,Office Supplies,Paper,17.472,5.6784
2014-03-01,Central,Office Supplies,Storage,266.904,-14.087100000000001
2014-03-01,East,Technology,Phones,5.94,1.6038
2014-03-01,West,Furniture,Chairs,457.568,51.4764
2014-03-02,East,Office Supplies,Envelopes,11.36,5.3392
2014-03-02,East,Office Supplies,Paper,39.824,18.542
2014-03-02,East,Technology,Accessories,151.2,32.13
2014-03-03,Central,Office Supplies,Appliances,176.772,-459.6072
2014-03-03,East,Furniture,Bookcases,302.45,-199.617
2014-03-03,East,Office Supplies,Binders,151.08,50.0505
2014-03-03,East,Office Supplies,Labels,15.12,4.914
2014-03-03,East,Office Supplies,Storage,44.672,-10.0512
2014-03-03,East,Technology,Phones,9.99,4.5954
2014-03-03,South,Office Supplies,Art,19.456,3.4048
2014-03-03,West,Furniture,Tables,626.352,-23.4882
2014-03-04,South,Office Supplies,Art,15.552,2.3328
2014-03-04,South,Office Supplies,Storage,354.9,17.745
2014-03-05,East,Office Supplies,Art,59.52,15.4752
2014-03-05,East,Office Supplies,Binders,49.632,16.7508
2014-03-05,East,Office Supplies,Paper,97.82,45.9754
2014-03-05,East,Office Supplies,Supplies,18.62,5.3998
2014-03-05,East,Technology,Accessories,479.97,177.5889
2014-03-07,West,Furniture,Chairs,966.9839999999999,81.49170000000001
2014-03-07,West,Office Supplies,Art,38.59,14.1634
2014-03-07,West,Office Supplies,Binders,107.648,33.64
2014-03-07,West,Office Supplies,Storage,447.84000000000003,4.8588
2014-03-10,Central,Office Supplies,Paper,22.38,10.7424
2014-03-10,West,Office Supplies,Art,83.168,9.3564
2014-03-10,West,Office Supplies,Storage,636.408,-15.9102
2014-03-11,East,Furniture,Furnishings,8.32,2.288
2014-03-11,East,Office Supplies,Fasteners,10.464,1.7004
2014-03-11,East,Office Supplies,Paper,108.92,49.014
2014-03-11,South,Office Supplies,Appliances,146.76,38.1576
2014-03-11,South,Office Supplies,Paper,14.94,7.0218
2014-03-11,South,Technology,Accessories,32.96,14.1728
2014-03-11,South,Technology,Phones,587.97,164.6316
2014-03-11,West,Office Supplies,Art,7.98,2.0748
2014-03-14,Central,Office Supplies,Paper,8.448,2.64
2014-03-14,Central,Technology,Machines,574.91,156.047
2014-03-14,South,Furniture,Chairs,1139.92,284.98
2014-03-14,South,Office Supplies,Paper,91.056,31.8696
2014-03-14,West,Office Supplies,Art,3.38,1.2506
2014-03-14,West,Office Supplies,Binders,95.136,31.3328
2014-03-14,West,Office Supplies,Paper,10.56,4.752
2014-03-14,West,Office Supplies,Storage,102.34,9.0064
2014-03-14,West,Technology,Accessories,82.8,6.624
2014-03-15,South,Furniture,Furnishings,45.696,5.1408
2014-03-15,South,Office Supplies,Binders,50.406000000000006,-37.205
2014-03-15,South,Office Supplies,Paper,131.904,47.8152
2014-03-15,South,Office Supplies,Storage,142.776,17.847
2014-03-16,South,Technology,Phones,471.92,29.495
2014-03-17,Central,Office Supplies,Appliances,93.78,36.5742
2014-03-17,Central,Office Supplies,Art,24.128,6.0408
2014-03-17,Central,Office Supplies,Binders,89.28,42.3204
2014-03-17,Central,Office Supplies,Paper,67.916,30.912399999999998
2014-03-17,East,Furniture,Tables,3265.23,-1124.0239
2014-03-17,East,Office Supplies,Paper,316.524,133.5066
2014-03-17,South,Office Supplies,Appliances,32.67,8.4942
2014-03-17,South,Office Supplies,Binders,41.870000000000005,20.2877
2014-03-17,South,Office Supplies,Paper,28.96,14.0304
2014-03-18,South,Furniture,Furnishings,153.12,23.3706
2014-03-18,South,Office Supplies,Art,8.016,1.002
2014-03-18,South,Office Supplies,Fasteners,18.936,5.9175
2014-03-18,South,Office Supplies,Paper,21.376,7.4816
2014-03-18,South,Technology,Machines,23459.78,-1827.5044
2014-03-18,West,Furniture,Bookcases,1198.33,70.49
2014-03-18,West,Furniture,Furnishings,111.0,14.43
2014-03-18,West,Office Supplies,Storage,1856.19,334.1142
2014-03-18,West,Technology,Machines,1279.968,415.9896
2014-03-19,South,Furniture,Furnishings,25.008,6.8772
2014-03-19,South,Office Supplies,Binders,33.57,-25.737
2014-03-19,South,Office Supplies,Labels,11.808,3.9852
2014-03-19,South,Office Supplies,Storage,26.16,1.962
2014-03-19,South,Technology,Accessories,170.24,53.2
2014-03-19,South,Technology,Phones,323.976,28.3479
2014-03-21,East,Office Supplies,Art,13.456,2.7914
2014-03-21,South,Furniture,Chairs,218.376,-10.9188
2014-03-21,South,Furniture,Furnishings,32.952,6.5904
2014-03-21,South,Office Supplies,Art,9.32,2.7028
2014-03-21,South,Office Supplies,Binders,122.94,59.0112
2014-03-21,South,Office Supplies,Labels,73.60000000000001,28.823999999999998
2014-03-21,South,Office Supplies,Paper,122.97,60.2553
2014-03-21,South,Office Supplies,Storage,16.272,-3.8646
2014-03-21,South,Technology,Phones,3499.93,909.9818
2014-03-22,Central,Office Supplies,Art,16.28,6.512
2014-03-22,South,Office Supplies,Binders,59.109,-45.3169
2014-03-22,West,Furniture,Chairs,314.352,-35.3646
2014-03-22,West,Office Supplies,Paper,74.352,23.235
2014-03-23,South,Office Supplies,Labels,9.912,3.2214
2014-03-23,West,Office Supplies,Storage,330.4,85.904
2014-03-23,West,Technology,Phones,604.752,37.797
2014-03-24,East,Office Supplies,Paper,24.9,11.703
2014-03-24,West,Furniture,Furnishings,40.48,14.5728
2014-03-25,East,Furniture,Chairs,366.786,65.2064
2014-03-25,West,Office Supplies,Art,46.879999999999995,15.544
2014-03-25,West,Technology,Accessories,45.48,15.918
2014-03-26,West,Office Supplies,Art,3.36,0.84
2014-03-26,West,Office Supplies,Binders,27.936,9.4284
2014-03-26,West,Office Supplies,Labels,18.75,9.0
2014-03-26,West,Technology,Accessories,66.3,8.619
2014-03-26,West,Technology,Phones,28.784,2.8784
2014-03-28,Central,Furniture,Tables,1184.72,106.6248
2014-03-28,Central,Office Supplies,Envelopes,6.12,2.8764
2014-03-28,East,Furniture,Tables,330.588,-143.2548
2014-03-28,West,Technology,Phones,302.376,22.6782
2014-03-29,Central,Furniture,Tables,890.841,-152.7156
2014-03-30,Central,Furniture,Chairs,127.302,-9.093
2014-03-30,Central,Office Supplies,Envelopes,335.72,113.3055
2014-03-30,Central,Office Supplies,Storage,129.3,6.465
2014-03-30,Central,Technology,Phones,251.944,88.1804
2014-03-30,East,Office Supplies,Art,60.15,23.793000000000003
2014-03-30,West,Furniture,Bookcases,205.666,-12.098
2014-03-30,West,Office Supplies,Labels,44.4,22.2
2014-03-30,West,Office Supplies,Storage,15.84,0.0
2014-03-31,Central,Office Supplies,Binders,8.134,-13.8278
2014-03-31,Central,Technology,Accessories,79.984,13.9972
2014-03-31,East,Office Supplies,Binders,0.852,-0.5964
2014-03-31,South,Furniture,Chairs,1125.488,98.4802
2014-03-31,South,Office Supplies,Art,4.032,1.0584
2014-03-31,South,Office Supplies,Binders,14.514,-11.424299999999999
2014-03-31,West,Office Supplies,Appliances,52.98,14.8344
2014-03-31,West,Office Supplies,Binders,673.568,252.588
2014-04-01,East,Office Supplies,Binders,6.24,3.0576
2014-04-01,East,Office Supplies,Storage,66.96,2.6784
2014-04-01,West,Office Supplies,Binders,17.088,5.5536
2014-04-01,West,Office Supplies,Labels,29.6,14.8
2014-04-02,Central,Office Supplies,Paper,60.208,19.817
2014-04-02,South,Furniture,Furnishings,177.68,46.1968
2014-04-02,South,Office Supplies,Appliances,154.9,40.274
2014-04-02,South,Office Supplies,Paper,15.84,7.128
2014-04-02,South,Technology,Phones,1049.93,293.9804
2014-04-03,West,Office Supplies,Envelopes,11.16,5.58
2014-04-03,West,Technology,Accessories,222.29,80.0244
2014-04-04,Central,Furniture,Furnishings,5.47,2.3521
2014-04-04,Central,Office Supplies,Art,79.36,23.808
2014-04-04,South,Office Supplies,Paper,32.400000000000006,15.6816
2014-04-04,South,Office Supplies,Storage,232.55,9.302
2014-04-04,South,Technology,Accessories,99.98,42.9914
2014-04-04,West,Office Supplies,Binders,7.184,2.245
2014-04-04,West,Office Supplies,Labels,18.9,9.072
2014-04-05,Central,Office Supplies,Art,40.59,12.0597
2014-04-05,Central,Office Supplies,Binders,40.2,18.09
2014-04-05,Central,Office Supplies,Storage,791.548,28.3242
2014-04-05,East,Office Supplies,Paper,55.48,26.6304
2014-04-05,South,Office Supplies,Art,45.92,14.2352
2014-04-05,South,Office Supplies,Binders,115.36,56.5264
2014-04-05,South,Office Supplies,Paper,12.96,6.3504
2014-04-05,South,Office Supplies,Supplies,4164.05,83.281
2014-04-05,South,Technology,Phones,28.99,8.4071
2014-04-06,East,Furniture,Tables,154.764,-36.1116
2014-04-06,East,Office Supplies,Binders,44.91,-35.928
2014-04-06,East,Office Supplies,Supplies,10.304,-2.1896
2014-04-06,East,Technology,Accessories,116.784,21.897
2014-04-06,West,Furniture,Furnishings,125.07,28.546100000000003
2014-04-06,West,Furniture,Tables,653.55,111.1035
2014-04-06,West,Office Supplies,Art,70.95,18.447
2014-04-06,West,Office Supplies,Binders,65.568,23.7684
2014-04-06,West,Office Supplies,Paper,74.92,35.961600000000004
2014-04-06,West,Technology,Accessories,333.87,134.02079999999998
2014-04-07,South,Furniture,Furnishings,8.96,2.7776
2014-04-07,South,Office Supplies,Paper,181.29,88.24889999999999
2014-04-07,South,Technology,Phones,830.9200000000001,214.0295
2014-04-08,East,Furniture,Tables,172.11,-94.6605
2014-04-08,South,Furniture,Tables,1215.92,316.1392
2014-04-08,West,Furniture,Tables,99.592,2.4898
2014-04-08,West,Office Supplies,Fasteners,52.160000000000004,-10.9968
2014-04-08,West,Office Supplies,Paper,19.008,6.8904
2014-04-08,West,Technology,Accessories,399.96,139.986
2014-04-11,Central,Technology,Phones,758.352,265.4232
2014-04-11,South,Office Supplies,Fasteners,6.912,2.3328
2014-04-11,South,Office Supplies,Paper,10.368,3.6288
2014-04-11,South,Technology,Accessories,719.9200000000001,123.58789999999999
2014-04-11,West,Office Supplies,Binders,9.584,3.3544
2014-04-11,West,Office Supplies,Storage,87.08,24.3824
2014-04-11,West,Technology,Accessories,217.44,91.3248
2014-04-11,West,Technology,Phones,105.584,9.2386
2014-04-12,Central,Office Supplies,Paper,32.4,15.552
2014-04-12,West,Furniture,Bookcases,308.499,-18.147
2014-04-12,West,Office Supplies,Art,39.68,16.2688
2014-04-12,West,Office Supplies,Binders,18.088,6.5569
2014-04-12,West,Technology,Phones,1513.456,132.4274
2014-04-13,East,Office Supplies,Art,17.856,1.116
2014-04-13,East,Office Supplies,Binders,509.97,-407.976
2014-04-13,East,Office Supplies,Fasteners,30.992,10.0724
2014-04-13,East,Office Supplies,Labels,7.83,3.6018
2014-04-13,East,Technology,Phones,71.928,8.3916
2014-04-15,West,Furniture,Furnishings,187.76,76.9816
2014-04-15,West,Office Supplies,Appliances,106.96,31.0184
2014-04-16,South,Office Supplies,Art,39.072,9.768
2014-04-18,Central,Furniture,Chairs,317.058,-18.1176
2014-04-18,Central,Office Supplies,Art,2.688,1.008
2014-04-18,Central,Office Supplies,Envelopes,149.352,50.4063
2014-04-18,Central,Technology,Accessories,227.976,28.497
2014-04-18,West,Office Supplies,Art,23.869999999999997,7.3523
2014-04-18,West,Office Supplies,Fasteners,11.62,3.6022
2014-04-18,West,Technology,Machines,287.968,97.1892
2014-04-19,South,Office Supplies,Binders,58.05,26.703
2014-04-19,South,Office Supplies,Paper,71.28,34.2144
2014-04-19,West,Furniture,Furnishings,76.14,26.649
2014-04-20,Central,Furniture,Tables,1145.69,-227.62099999999998
2014-04-20,Central,Office Supplies,Storage,44.84,5.605
2014-04-20,West,Furniture,Furnishings,59.92,27.5632
2014-04-21,South,Office Supplies,Storage,828.84,0.0
2014-04-21,West,Office Supplies,Binders,16.52,5.5755
2014-04-22,East,Office Supplies,Binders,9.912,3.3453
2014-04-22,East,Office Supplies,Envelopes,247.84,121.4416
2014-04-23,East,Furniture,Chairs,562.744,-24.1176
2014-04-23,East,Furniture,Furnishings,22.336,7.8176
2014-04-23,East,Office Supplies,Binders,9.99,-6.993
2014-04-23,West,Office Supplies,Paper,48.91,22.9877
2014-04-25,Central,Office Supplies,Art,6.24,0.546
2014-04-25,Central,Office Supplies,Paper,10.368,3.6288
2014-04-25,South,Technology,Phones,302.376,37.797
2014-04-25,West,Furniture,Chairs,1487.04,148.704
2014-04-25,West,Furniture,Furnishings,303.25,63.6825
2014-04-25,West,Office Supplies,Appliances,270.72,78.5088
2014-04-26,West,Furniture,Chairs,230.28,23.028
2014-04-26,West,Office Supplies,Art,21.4,6.206
2014-04-26,West,Office Supplies,Binders,18.288,5.715
2014-04-26,West,Office Supplies,Labels,12.6,5.796
2014-04-28,East,Office Supplies,Art,5.34,1.4952
2014-04-28,East,Office Supplies,Binders,20.86,9.387
2014-04-28,East,Office Supplies,Labels,10.062,4.0176
2014-04-28,East,Office Supplies,Storage,702.274,93.67760000000001
2014-04-28,East,Technology,Accessories,159.98,57.5928
2014-04-28,West,Technology,Phones,1679.96,125.997
2014-04-29,East,Furniture,Furnishings,17.46,5.9364
2014-04-29,East,Technology,Phones,19.98,5.1948
2014-04-29,South,Furniture,Chairs,613.544,83.18799999999999
2014-04-29,South,Office Supplies,Binders,17.94,8.6112
2014-04-29,South,Office Supplies,Storage,99.92,-1.249
2014-04-30,South,Office Supplies,Art,174.95,45.487
2014-04-30,South,Office Supplies,Storage,826.0,214.76
2014-04-30,South,Technology,Accessories,47.79,16.2486
2014-05-02,East,Office Supplies,Appliances,26.136,1.9602
2014-05-02,South,Technology,Copiers,479.984,89.997
2014-05-03,Central,Office Supplies,Labels,21.56,10.3488
2014-05-03,East,Office Supplies,Binders,51.072,18.5136
2014-05-04,Central,Office Supplies,Art,37.84,2.838
2014-05-04,Central,Office Supplies,Binders,46.8,21.06
2014-05-04,Central,Office Supplies,Fasteners,5.472,1.8468
2014-05-04,East,Furniture,Furnishings,27.46,9.8856
2014-05-04,West,Furniture,Furnishings,12.18,3.8976
2014-05-04,West,Office Supplies,Appliances,57.68,19.0344
2014-05-05,Central,Furniture,Chairs,127.869,-9.1335
2014-05-05,Central,Office Supplies,Storage,45.248,3.9592
2014-05-05,South,Office Supplies,Art,6.56,1.9024
2014-05-05,South,Office Supplies,Binders,11.88,5.346
2014-05-05,South,Office Supplies,Paper,69.41999999999999,32.43900000000001
2014-05-06,West,Office Supplies,Art,107.94,30.2232
2014-05-06,West,Office Supplies,Binders,140.736,52.776
2014-05-06,West,Office Supplies,Labels,5.78,2.7166
2014-05-07,East,Furniture,Chairs,872.32,244.2496
2014-05-07,East,Furniture,Tables,194.25,-38.85
2014-05-07,East,Office Supplies,Art,8.64,2.5056
2014-05-07,East,Office Supplies,Binders,16.14,7.9086
2014-05-08,East,Technology,Copiers,1799.97,239.996
2014-05-09,South,Office Supplies,Labels,30.099999999999998,14.035
2014-05-09,South,Office Supplies,Paper,45.36,21.7728
2014-05-09,South,Office Supplies,Storage,83.25,14.985
2014-05-09,West,Technology,Accessories,235.76999999999998,44.3808
2014-05-10,East,Furniture,Bookcases,349.965,-216.9783
2014-05-10,East,Office Supplies,Art,22.32,5.301
2014-05-10,West,Furniture,Chairs,256.784,32.098
2014-05-10,West,Office Supplies,Envelopes,158.13,77.4837
2014-05-10,West,Office Supplies,Paper,39.96,19.1808
2014-05-10,West,Office Supplies,Supplies,41.04,11.0808
2014-05-10,West,Technology,Phones,1475.6,129.66
2014-05-11,Central,Furniture,Chairs,1212.96,-69.312
2014-05-11,Central,Furniture,Furnishings,66.112,-84.2928
2014-05-11,Central,Office Supplies,Binders,104.58,-172.557
2014-05-11,Central,Office Supplies,Paper,17.472,5.6784
2014-05-11,Central,Technology,Accessories,104.976,14.8794
2014-05-11,Central,Technology,Phones,100.792,6.2995
2014-05-11,East,Office Supplies,Appliances,35.91,9.6957
2014-05-12,Central,Furniture,Furnishings,34.79,10.7849
2014-05-12,East,Furniture,Tables,700.056,-130.0104
2014-05-13,South,Office Supplies,Binders,398.352,-331.96
2014-05-13,South,Office Supplies,Fasteners,7.104,2.3976
2014-05-13,West,Furniture,Chairs,279.456,20.9592
2014-05-13,West,Office Supplies,Paper,8.0,3.84
2014-05-13,West,Office Supplies,Storage,55.5,9.99
2014-05-13,West,Technology,Accessories,149.97,52.4895
2014-05-14,South,Furniture,Furnishings,310.88,23.316
2014-05-16,West,Furniture,Chairs,232.88,17.466
2014-05-16,West,Technology,Accessories,56.4,3.384
2014-05-17,Central,Office Supplies,Binders,91.68,45.84
2014-05-18,Central,Office Supplies,Paper,3.984,1.4442
2014-05-18,East,Furniture,Furnishings,149.232,3.7308
2014-05-18,East,Office Supplies,Paper,15.936,5.7768
2014-05-18,East,Technology,Phones,779.796,-168.9558
2014-05-19,Central,Office Supplies,Binders,57.42,26.4132
2014-05-19,South,Office Supplies,Supplies,34.2,9.234
2014-05-20,Central,Furniture,Furnishings,10.332,-5.9409
2014-05-20,Central,Office Supplies,Paper,10.368,3.6288
2014-05-20,Central,Office Supplies,Storage,66.96,-13.392
2014-05-20,Central,Technology,Accessories,20.784,-3.6372
2014-05-20,East,Furniture,Furnishings,139.86,60.1398
2014-05-20,East,Office Supplies,Appliances,33.28,9.3184
2014-05-20,East,Office Supplies,Art,38.52,11.9412
2014-05-21,Central,Furniture,Chairs,107.772,-29.2524
2014-05-21,Central,Office Supplies,Binders,18.24,-31.008
2014-05-21,Central,Office Supplies,Envelopes,56.064,21.024
2014-05-21,Central,Office Supplies,Paper,4.832,1.6308
2014-05-21,East,Office Supplies,Appliances,245.88,68.8464
2014-05-21,East,Office Supplies,Binders,447.86,219.4514
2014-05-21,East,Office Supplies,Paper,17.94,8.7906
2014-05-21,South,Office Supplies,Binders,2715.93,1276.4871
2014-05-21,South,Technology,Phones,617.97,173.0316
2014-05-21,West,Office Supplies,Art,31.84,10.5072
2014-05-22,South,Technology,Phones,180.93,46.580999999999996
2014-05-23,East,Office Supplies,Appliances,208.16,56.2032
2014-05-23,East,Office Supplies,Art,21.168,2.3814
2014-05-23,East,Office Supplies,Binders,21.242,3.2114
2014-05-23,East,Office Supplies,Supplies,5.04,0.1512
2014-05-23,East,Technology,Phones,55.188,-10.1178
2014-05-23,West,Office Supplies,Paper,12.96,6.2208
2014-05-24,East,Office Supplies,Paper,116.28,56.9772
2014-05-25,Central,Furniture,Furnishings,29.32,-24.189
2014-05-25,Central,Office Supplies,Appliances,75.6,-166.32
2014-05-25,East,Office Supplies,Paper,14.62,6.7252
2014-05-26,Central,Furniture,Chairs,359.772,-5.1396
2014-05-26,Central,Office Supplies,Art,13.392,3.1806
2014-05-26,Central,Office Supplies,Storage,102.624,7.6968
2014-05-26,West,Furniture,Bookcases,290.666,27.3568
2014-05-26,West,Furniture,Chairs,225.296,22.5296
2014-05-26,West,Office Supplies,Paper,48.4,23.232
2014-05-26,West,Technology,Phones,285.568,51.6524
2014-05-27,Central,Office Supplies,Binders,17.46,-30.555
2014-05-27,West,Furniture,Tables,567.12,-28.356
2014-05-27,West,Office Supplies,Storage,359.32,7.1864
2014-05-27,West,Technology,Accessories,99.99,37.9962
2014-05-27,West,Technology,Phones,1113.504,125.2692
2014-05-28,West,Office Supplies,Binders,136.96,51.36
2014-05-28,West,Technology,Accessories,27.6,2.208
2014-05-28,West,Technology,Phones,57.408,5.7408
2014-05-30,Central,Furniture,Tables,355.455,-184.8366
2014-05-30,Central,Technology,Copiers,719.976,134.9955
2014-05-30,East,Office Supplies,Appliances,235.95,77.8635
2014-05-30,East,Office Supplies,Binders,95.952,35.3424
2014-05-30,East,Office Supplies,Paper,39.96,17.982
2014-05-30,East,Technology,Phones,464.0,134.56
2014-05-30,South,Office Supplies,Paper,13.62,6.129
2014-05-31,South,Technology,Phones,773.7,230.9727
2014-06-01,Central,Furniture,Chairs,2001.86,580.5394
2014-06-01,Central,Office Supplies,Appliances,1568.77,508.44849999999997
2014-06-01,Central,Office Supplies,Binders,138.56,66.5088
2014-06-01,Central,Office Supplies,Paper,73.80000000000001,36.3816
2014-06-01,Central,Office Supplies,Storage,166.72,41.68
2014-06-01,East,Office Supplies,Art,289.2,83.868
2014-06-01,East,Office Supplies,Binders,45.48,20.9208
2014-06-01,South,Furniture,Furnishings,22.2,9.102
2014-06-01,South,Technology,Phones,881.93,229.3018
2014-06-02,South,Office Supplies,Art,8.56,2.6536
2014-06-02,South,Office Supplies,Storage,356.94,107.082
2014-06-02,South,Technology,Phones,239.97,67.1916
2014-06-02,West,Furniture,Furnishings,73.32,21.996
2014-06-02,West,Office Supplies,Binders,59.808,19.4376
2014-06-03,Central,Furniture,Furnishings,61.544,-40.0036
2014-06-03,Central,Office Supplies,Envelopes,15.28,7.4872
2014-06-03,Central,Office Supplies,Labels,15.936,5.1792
2014-06-03,Central,Office Supplies,Storage,132.696,9.9522
2014-06-03,West,Furniture,Tables,515.88,113.4936
2014-06-04,East,Furniture,Bookcases,353.568,-44.196
2014-06-04,East,Furniture,Furnishings,70.92,27.776
2014-06-04,East,Office Supplies,Appliances,15.56,4.0456
2014-06-04,East,Office Supplies,Paper,16.224,5.8812
